"Year_Birth","Education","Marital_Status","Income","Kidhome","Teenhome","Recency","MntWines","MntFruits","MntMeatProducts","MntFishProducts","MntSweetProducts","MntGoldProds","NumDealsPurchases","NumWebPurchases","NumCatalogPurchases","NumStorePurchases","NumWebVisitsMonth","Encoded_Education","Encoded_Marital_Status","Encoded_Dt_Customer","Response"
"1969","Graduation","Married",73448,"0","0","10",236,106,189,23,41,130,"1","7","2","9","4",3,3,16345,"0"
"1971","Graduation","Widow",30372,"1","1","33",15,0,12,7,3,7,"3","2","0","3","7",3,6,15699,"0"
"1958","2n Cycle","Single",85485,"0","0","73",630,26,611,44,18,54,"1","6","6","6","2",1,4,16242,"0"
"1967","2n Cycle","Together",30753,"1","1","85",12,5,25,0,9,30,"2","1","1","3","5",1,5,16016,"0"
"1974","Graduation","Married",60093,"0","1","92",502,12,109,16,6,90,"2","7","2","10","6",3,3,15882,"0"
"1984","Basic","Single",25707,"1","0","18",1,6,2,3,6,3,"1","1","0","3","7",2,4,16088,"0"
"1972","Graduation","Single",31907,"0","0","75",33,87,64,175,16,74,"1","6","1","6","7",3,4,15798,"0"
"1951","Graduation","Married",34838,"1","1","62",28,23,29,29,14,47,"3","2","1","4","6",3,3,15724,"0"
"1962","PhD","Married",42769,"0","1","15",71,0,13,3,1,0,"2","1","1","4","4",5,3,16049,"0"
"1990","Graduation","Married",35765,"1","0","86",22,3,30,0,5,15,"2","2","0","4","6",3,3,16021,"0"
"1965","PhD","Divorced",47025,"1","1","6",16,0,3,0,0,1,"1","1","0","2","7",5,2,16315,"0"
"1955","2n Cycle","Divorced",41769,"0","1","31",302,29,131,32,0,27,"6","8","1","7","8",1,2,15749,"0"
"1973","Graduation","Married",25410,"1","0","48",2,2,4,13,13,4,"1","1","0","4","4",3,3,15948,"0"
"1972","Master","Single",49494,"1","0","46",191,9,97,0,6,82,"2","6","1","5","7",4,4,15820,"0"
"1949","Graduation","Together",38823,"0","1","56",70,0,11,2,8,23,"1","2","1","3","6",3,5,15582,"0"
"1972","PhD","Married",59973,"0","0","47",130,30,168,20,34,0,"1","3","4","7","1",5,3,16018,"0"
"1978","Graduation","Married",51267,"1","1","37",183,2,64,7,2,12,"4","3","3","5","4",3,3,16007,"0"
"1963","PhD","Married",78804.5420945492,"0","0","73",1137.34507891722,75.2708792821504,562.043537633959,10.2293748706579,32.4099610587582,111.516855917405,"3","4","2","5","5",4.31966796470806,4.36066407058388,15872.9522279287,"1"
"1984","PhD","Married",38175,"1","0","6",70,6,69,2,3,3,"3","3","1","4","7",5,3,15971,"0"
"1950","2n Cycle","Together",52203,"0","0","36",488,21,238,56,108,28,"1","8","7","11","6",1,5,15552,"0"
"1965","Master","Single",35791,"2","1","94",27,0,5,0,0,3,"2","1","0","3","8",4,4,15861,"0"
